longitude,latitude
4.8974612,52.3767527
4.794359,52.3996492
4.942969,52.3640335
4.9314969,52.3650378
4.8698733,52.4045528
4.8694057,52.4041304
4.8693012,52.4038766
4.8691754,52.4036078
4.8691754,52.4036078
4.8689759,52.4034113
4.8685916,52.403095
4.8931709,52.3670662
4.8931709,52.3670662
4.7924794,52.3628548
4.8971852,52.3768832
4.8866898,52.330482
4.8802137,52.3660373
4.8787613,52.3882987
4.8787613,52.3882987
4.8787613,52.3882987
4.8787613,52.3882987
4.8787613,52.3882987
4.8787613,52.3882987
4.8506621,52.3900885
4.8556042,52.356766
4.855983,52.3571427
4.9142876,52.387569
4.8966871,52.3763285
4.8766124,52.3893244
4.8769362,52.3889222
4.8564448,52.3570321
4.9128419,52.3833221
4.8751448,52.3901081
4.8746567,52.3899647
4.9277874,52.3844606
4.8738815,52.3903803
4.927659,52.3846536
4.8831077,52.3850328
4.9259838,52.361147
4.8753465,52.3894449
4.8761787,52.3896956
4.8738766,52.3910648
4.8712546,52.3912106
4.8728834,52.3905473
4.8710996,52.3915477
4.9261769,52.360891
4.8707855,52.3922306
4.9504605,52.2987859
4.8729472,52.3920512
4.9017679,52.372936
4.8734178,52.3909454
4.9014216,52.372702
4.8707729,52.3926146
4.8725866,52.3932826
4.8718327,52.3951346
4.8718327,52.3951346
4.9032338,52.3942769
4.8719442,52.3960338
4.8719442,52.3960338
4.8719186,52.3963582
4.8719186,52.3963582
4.9501694,52.2989936
4.8813869,52.386687
4.8813869,52.386687
4.8813869,52.386687
4.8813869,52.386687
4.8813869,52.386687
4.8813869,52.386687
4.8813869,52.386687
4.8813869,52.386687
4.8813869,52.386687
4.8813869,52.386687
4.88165,52.3866202
4.88165,52.3866202
4.88165,52.3866202
4.88165,52.3866202
4.88165,52.3866202
4.88165,52.3866202
4.88165,52.3866202
4.88165,52.3866202
4.88165,52.3866202
4.88165,52.3866202
4.8557628,52.3916983
4.8930449,52.3795864
4.8567406,52.3573449
4.8569792,52.35716
4.8506339,52.390643
4.8863599,52.3303627
4.8575293,52.3572716
4.8832734,52.3844131
4.8832734,52.3844131
4.8579155,52.3573876
4.8862073,52.3833967
4.88732,52.3823966
4.945099,52.3646949
4.8929141,52.3800843
4.7798492,52.3995296
4.780218,52.3995293
4.8947719,52.3788645
4.8952496,52.3784894
4.8953809,52.3782054
4.895795,52.3780195
4.895795,52.3780195
4.8961499,52.3775844
4.896515,52.3772355
4.8964153,52.3767151
4.8963234,52.376487
4.8960239,52.3762662
4.89526,52.3757777
4.8950107,52.3755558
4.8937679,52.37468
4.7837276,52.3548868
4.8930716,52.3740522
4.892796,52.3738147
4.8925534,52.3735948
4.7805901,52.3995307
4.8756888,52.350506
4.8821627,52.3665067
4.8852225,52.3671231
4.8886684,52.3835589
4.8846664,52.3579378
4.7809671,52.3995286
4.9218199,52.3870973
4.9001495,52.3512876
4.9123048,52.3448405
4.9309807,52.3697659
4.9309807,52.3697659
4.8879366,52.381726
4.8523673,52.3548431
4.9195309,52.3870255
4.920808,52.3868829
4.821419,52.3593649
4.8894446,52.3689626
4.8894446,52.3689626
4.8899296,52.3686059
4.8904272,52.3687122
4.8900579,52.3674695
4.8900579,52.3674695
4.8900579,52.3674695
4.9686282,52.3795568
4.9683686,52.3797006
4.8918486,52.3681049
4.8918486,52.3681049
4.8918486,52.3681049
4.8768496,52.3754921
4.8772836,52.3752611
4.8925011,52.3557903
4.8921134,52.371441
4.8921134,52.371441
4.8921134,52.371441
4.8919528,52.3721547
4.8919528,52.3721547
4.8919528,52.3721547
4.8919528,52.3721547
4.8919528,52.3721547
4.8919528,52.3721547
4.8919528,52.3721547
4.8919528,52.3721547
4.8919528,52.3721547
4.8921141,52.3726567
4.8921141,52.3726567
4.8921141,52.3726567
4.8921141,52.3726567
4.8921141,52.3726567
4.8557725,52.3914758
4.8602711,52.3533097
4.9247555,52.3912946
4.8557841,52.391247
4.8514402,52.3553434
4.794409,52.3803278
4.8931238,52.3725533
4.8931238,52.3725533
4.8941181,52.3725495
4.8944798,52.3722551
4.8949483,52.3721016
4.8955063,52.371923
4.8955063,52.371923
4.8966517,52.3723198
4.8963965,52.3716175
4.8974766,52.3713653
4.8978308,52.3712043
4.8991495,52.3709323
4.8514426,52.3551405
4.9002527,52.3705627
4.8909333,52.3795784
4.9505483,52.2992478
4.907141,52.3727223
4.9251276,52.3907174
4.8932536,52.3670453
4.8857596,52.3829506
4.8311424,52.3678341
4.9225181,52.3866883
4.8938546,52.366776
4.8938546,52.366776
4.8941509,52.3666932
4.8941509,52.3666932
4.895065,52.3663377
4.8956517,52.3663959
4.8956517,52.3663959
4.8805335,52.3682967
4.8817916,52.3687099
4.8507711,52.3549358
4.8495619,52.3549723
4.8490096,52.3551029
4.8467778,52.3699069
4.8488125,52.3550535
4.8484045,52.3551364
4.8657587,52.3636967
4.9217182,52.3867788
4.8663029,52.3638325
4.8987413,52.3661519
4.9020296,52.3764577
4.9017929,52.3763486
4.9010723,52.3760074
4.9008722,52.3759397
4.8765038,52.3850292
4.8766599,52.3848025
4.8768749,52.3847194
4.8768345,52.3845769
4.8942068,52.3545683
4.8946751,52.3546655
4.8951514,52.3547705
4.895536,52.3548555
4.8959544,52.3549479
4.8963546,52.3550365
4.8967782,52.3551297
4.9271452,52.3925017
4.8971617,52.3552147
4.8863136,52.3301194
4.9024755,52.3668877
4.927061,52.3929003
4.9036185,52.3672512
4.9283357,52.3936574
4.8578587,52.4053103
4.8851607,52.3304806
4.8848949,52.3303125
4.8557915,52.3910865
4.8975729,52.3652141
4.8975729,52.3652141
4.8980138,52.3650562
4.8980138,52.3650562
4.8979695,52.3644544
4.8981222,52.363902
4.8981222,52.363902
4.8981222,52.363902
4.8985161,52.3637187
4.8985161,52.3637187
4.8992003,52.3620492
4.9620332,52.3935116
4.9623774,52.3936047
4.9626722,52.393686
4.9629827,52.3937733
4.8976227,52.3553166
4.8656163,52.3641926
4.9639537,52.3940409
4.9642838,52.3941296
4.9646092,52.3942174
4.9649248,52.3943039
4.965256,52.3943958
4.9651903,52.3945703
4.965773,52.393781
4.9023136,52.360191
4.9023136,52.360191
4.8661167,52.3643974
4.8657348,52.3640461
4.8660127,52.3641056
4.8658615,52.3639436
4.8660398,52.3639851
4.8660323,52.3637623
4.901209,52.3714986
4.9010011,52.3714883
4.9007969,52.3714795
4.9008924,52.3713815
4.9009166,52.3712201
4.900942,52.371052
4.9009643,52.3709037
4.9011623,52.3710738
4.9011413,52.3712449
4.9011182,52.3713986
4.9214859,52.3643933
4.9216201,52.3645469
4.9218499,52.3643883
4.9218968,52.3645861
4.921727,52.364694
4.921727,52.364694
4.9219531,52.3648324
4.9219531,52.3648324
4.9221249,52.3647242
4.9223746,52.36489
4.9222075,52.3649867
4.9224311,52.3651244
4.9226056,52.3650247
4.922828,52.3649659
4.9227338,52.364785
4.9225781,52.3646396
4.905071,52.3607039
4.905071,52.3607039
4.9053546,52.3607627
4.9053546,52.3607627
4.9057769,52.3605667
4.9057769,52.3605667
4.9061177,52.3609226
4.9061177,52.3609226
4.9065636,52.3607239
4.9065636,52.3607239
4.9256855,52.3914894
4.922464,52.364467
4.9224178,52.3642648
4.9222475,52.3639527
4.9224509,52.3640869
4.8866131,52.3790408
4.8866131,52.3790408
4.8853105,52.3788635
4.8870547,52.379489
4.8870547,52.379489
4.922642,52.3642229
5.016083,52.3060213
4.9227979,52.3643767
